frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
24,1554714312,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00144892,0.599963,1.27995e-05,-0.118463,-0.114514,0.961063,0.221833,-12.7199,-73.712,-5.00879,0.242157,0.038515,0.969317,-0.0173841,-29.8649,-64.5157,59.4639,-7.70132,1.69199,5.01132,0,0,0
25,1554714333,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00217198,0.599963,-0.000228218,-0.117352,-0.1151,0.961177,0.221628,-12.7199,-73.712,-5.00879,0.242604,0.038624,0.969211,-0.0167901,-29.7712,-64.5157,59.4762,-7.70132,1.69199,5.01132,0,0,0
26,1554714343,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00148909,0.599963,-0.000228218,-0.116799,-0.115166,0.961393,0.22095,-12.7199,-73.712,-5.00879,0.242604,0.038624,0.969211,-0.0167901,-29.7712,-64.5157,59.4762,-7.70132,1.69199,5.01132,0,0,0
27,1554714352,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00152926,0.599963,0.000856362,-0.116799,-0.115166,0.961393,0.22095,-12.7199,-73.712,-5.00879,0.243041,0.0381724,0.96912,-0.0167199,-29.7712,-64.5157,59.4762,-7.70132,1.69199,5.01132,0,0,0
28,1554714369,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00189079,0.599963,0.000374326,-0.116799,-0.115166,0.961393,0.22095,-12.7199,-73.712,-5.00879,0.243505,0.0378439,0.969029,-0.016023,-29.7712,-64.5157,59.4762,-7.70132,1.69199,5.01132,0,0,0
29,1554714375,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.0020113,0.599963,0.000776023,-0.117335,-0.114912,0.96129,0.221246,-12.7159,-73.726,-5.06114,0.243916,0.0372692,0.968938,-0.0165794,-29.7712,-64.5157,59.4762,-7.70797,1.71478,5.09665,0,0,0
30,1554714382,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00185062,0.599963,0.000173478,-0.117393,-0.115346,0.961271,0.22107,-12.7159,-73.726,-5.06114,0.244347,0.0368414,0.968851,-0.016307,-29.7663,-64.555,59.439,-7.70797,1.71478,5.09665,0,0,0
31,1554714392,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00185062,0.599963,0.000374326,-0.117393,-0.115346,0.961271,0.22107,-12.7159,-73.726,-5.06114,0.245221,0.0359383,0.968666,-0.0161665,-29.7663,-64.555,59.439,-7.70797,1.71478,5.09665,0,0,0
32,1554714412,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00193096,0.599963,0.000494835,-0.116779,-0.115205,0.961346,0.221143,-12.7159,-73.726,-5.06114,0.24632,0.0346288,0.968445,-0.0155586,-29.663,-64.6335,59.3767,-7.70797,1.71478,5.09665,0,0,0
33,1554714417,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164817,0.677531,0.679139,-0.229255,0.0998084,-0.0660121,-0.11157,0,0.599799,0.00193096,0.599963,0.000494835,-0.116779,-0.115205,0.961346,0.221143,-12.7159,-73.726,-5.06114,0.24632,0.0346288,0.968445,-0.0155586,-29.663,-64.6335,59.3767,-7.70797,1.71478,5.09665,0,0,0
