frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
26,1555103024,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.188306,0.578336,0.706234,-0.362355,0.100089,-0.0659883,-0.112269,1,0.599963,0.0061086,0.600943,-0.00119229,0.114945,0.193539,0.912818,0.340725,-35.7888,-101.224,-35.5114,0.078422,0.770261,-0.597908,0.207493,20.52,-134.855,-2.85162,1.5683,-11.4177,-1.962,0,0,0
27,1555103039,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.192742,0.572976,0.71093,-0.359342,0.100069,-0.0659461,-0.112263,1,0.599963,0.00675132,0.598819,0.00419044,0.11492,0.191715,0.912842,0.341699,-35.7888,-101.224,-35.5114,0.0803961,0.770046,-0.596855,0.210546,20.9872,-134.719,-2.4367,1.5683,-11.4177,-1.962,0,0,0
28,1555103047,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.195383,0.569729,0.713724,-0.357537,0.100057,-0.0659255,-0.112255,1,0.599963,0.00719318,0.599799,0.00294518,0.115484,0.190564,0.912786,0.342302,-35.7888,-101.224,-35.5114,0.0812146,0.769707,-0.596647,0.212056,21.1171,-134.734,-2.50577,1.5683,-11.4177,-1.962,0,0,0
29,1555103055,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.197618,0.566933,0.716093,-0.356013,0.100046,-0.0659094,-0.112247,1,0.599963,0.00630945,0.600289,0.00282467,0.114888,0.18943,0.912872,0.342903,-35.7879,-101.17,-35.5149,0.081692,0.769187,-0.596443,0.214322,20.9807,-134.734,-2.48846,1.56679,-11.5062,-1.95639,0,0,0
30,1555103066,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.200082,0.563781,0.718717,-0.35435,0.100034,-0.0658922,-0.112237,1,0.599963,0.00695216,0.599636,0.00298535,0.114899,0.188244,0.913132,0.342858,-35.7879,-101.17,-35.5149,0.0819608,0.768503,-0.596762,0.21578,20.9807,-134.734,-2.48846,1.56679,-11.5062,-1.95639,0,0,0
31,1555103092,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.204886,0.557476,0.723848,-0.351122,0.100011,-0.0658591,-0.112216,1,0.599963,0.00663081,0.599799,0.0031862,0.115651,0.187018,0.913053,0.343488,-35.8425,-101.17,-35.5296,0.0828461,0.767786,-0.596458,0.218813,20.7825,-134.719,-2.41094,1.65582,-11.5062,-1.93239,0,0,0
32,1555103096,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.207253,0.554308,0.726373,-0.349529,0.0999991,-0.0658429,-0.112205,1,0.599963,0.00675132,0.599799,0.00254349,0.116222,0.18632,0.91299,0.34384,-35.8425,-101.17,-35.5296,0.0837033,0.767594,-0.596167,0.219952,20.7401,-134.658,-2.19539,1.65582,-11.5062,-1.93239,0,0,0
33,1555103106,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.20862,0.552435,0.727845,-0.348618,0.0999934,-0.0658326,-0.112198,1,0.599963,0.00667098,0.599473,0.00390926,0.11542,0.185977,0.912845,0.344681,-35.7879,-101.17,-35.5149,0.0844101,0.767416,-0.595712,0.221528,20.7709,-134.634,-1.94894,1.56679,-11.5062,-1.95639,0,0,0
34,1555103139,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.215509,0.542564,0.73535,-0.344152,0.0999636,-0.065766,-0.112154,1,0.599963,0.00707267,0.599636,0.00330671,0.115721,0.185677,0.912064,0.346803,-35.7333,-101.17,-35.5002,0.0875744,0.766833,-0.594554,0.225396,20.9235,-134.433,-1.28583,1.47775,-11.5062,-1.98036,0,0,0
35,1555103159,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,-0.217015,0.54026,0.737028,-0.343238,0.099956,-0.0657475,-0.112142,1,0.599963,0.00719318,0.599636,0.00270417,0.115534,0.185748,0.912087,0.346765,-35.6786,-101.17,-35.4855,0.0973044,0.763523,-0.593005,0.236451,21.5872,-134.11,-0.467038,1.3887,-11.5062,-2.0043,0,0,0
