frame,timestamp,gripL_ow,gripL_ox,gripL_oy,gripL_oz,gripL_px,gripL_py,gripL_pz,gripR_ow,gripR_ox,gripR_oy,gripR_oz,gripR_px,gripR_py,gripR_pz,clutch,gripL_jaw_p,gripL_jaw_f,gripR_jaw_p,gripR_jaw_f,omniL_ow,omniL_ox,omniL_oy,omniL_oz,omniL_px,omniL_py,omniL_pz,omniR_ow,omniR_ox,omniR_oy,omniR_oz,omniR_px,omniR_py,omniR_pz,omnil_fx,omnil_fy,omnil_fz,omnir_fx,omnir_fy,omnir_fz
24,1554102263,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.1732,0.692115,0.669821,-0.205713,0.0998196,-0.0659829,-0.111536,1,0.595226,-0.00393381,0.590489,0.000976871,-0.0137871,-0.0544109,0.948154,0.312815,17.3901,-96.9564,-14.656,0.201175,0.084165,0.968506,0.120168,-96.9854,-84.5556,15.7767,0.0832367,-1.48896,0.735653,1.37148,8.0898,3.62321
25,1554102274,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.173668,0.695827,0.667395,-0.200621,0.0998118,-0.0659752,-0.111532,1,0.595226,-0.0032911,0.590652,0.000655514,-0.0137739,-0.0538861,0.94849,0.311887,17.4022,-96.9386,-14.5495,0.200777,0.0842144,0.968589,0.120133,-96.8339,-84.5556,15.8564,0.063591,-1.51799,0.562012,1.37148,8.0898,3.62321
26,1554102302,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.173987,0.704241,0.661687,-0.189585,0.0997906,-0.0659575,-0.111524,1,0.595226,-0.00393381,0.590815,-2.73702e-05,-0.0137733,-0.0537715,0.948955,0.310489,17.4082,-96.9297,-14.4962,0.200432,0.0843749,0.968699,0.119711,-96.7232,-84.3858,16.0138,0.0537667,-1.53256,0.475201,1.37148,8.0898,3.62321
27,1554102311,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.173505,0.714495,0.654352,-0.176683,0.0997637,-0.0659354,-0.111512,1,0.595226,-0.00409449,0.590652,0.000655514,-0.0131751,-0.0535256,0.949226,0.309728,17.4142,-96.9207,-14.443,0.200298,0.0846434,0.968878,0.118287,-96.7288,-84.046,16.2088,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
28,1554102338,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.171262,0.731964,0.640932,-0.155255,0.0997171,-0.0658916,-0.111481,1,0.595226,-0.0032911,0.590652,0.000615344,-0.0119821,-0.0534897,0.949633,0.308532,17.4142,-96.9207,-14.443,0.199126,0.0853867,0.969379,0.115594,-96.4002,-83.3585,16.8767,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
29,1554102356,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.169958,0.739058,0.635155,-0.146579,0.0996949,-0.0658687,-0.111464,1,0.595226,-0.00284923,0.590652,0.000494835,-0.0113651,-0.0532264,0.949841,0.307962,17.4142,-96.9207,-14.443,0.198434,0.0857018,0.969594,0.114747,-96.176,-83.0721,17.1904,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
30,1554102374,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.16706,0.752609,0.623558,-0.129794,0.0996414,-0.0658109,-0.111419,1,0.595226,-0.00353211,0.590652,-0.000228218,-0.0113651,-0.0532264,0.949841,0.307962,17.4142,-96.9207,-14.443,0.197049,0.0863279,0.97002,0.113054,-95.7225,-82.3353,17.8119,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
31,1554102383,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.166333,0.755875,0.620644,-0.125646,0.0996251,-0.065793,-0.111404,1,0.595226,-0.00341161,0.590652,5.29691e-05,-0.0113651,-0.0532264,0.949841,0.307962,17.4142,-96.9207,-14.443,0.196182,0.0867164,0.970284,0.111994,-95.4374,-81.9083,18.1996,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
32,1554102391,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.164654,0.763945,0.613233,-0.114987,0.0995758,-0.0657361,-0.111354,1,0.595226,-0.00341161,0.590979,-0.000469236,-0.0113651,-0.0532264,0.949841,0.307962,17.4142,-96.9207,-14.443,0.195289,0.0870485,0.970534,0.111128,-95.1306,-81.5119,18.5465,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
33,1554102425,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.16234,0.777952,0.599562,-0.0946629,0.0994211,-0.0655624,-0.111184,1,0.595226,-0.00296974,0.590652,-0.000710254,-0.0106978,-0.0524087,0.950255,0.306845,17.4142,-96.9207,-14.443,0.192224,0.0876778,0.971445,0.107964,-93.8746,-80.4613,19.699,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
34,1554102436,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.161444,0.783253,0.594127,-0.0863894,0.0993181,-0.0654587,-0.111078,1,0.595226,-0.00365262,0.590979,-0.000308558,-0.0112653,-0.0521155,0.950257,0.306868,17.4142,-96.9207,-14.443,0.190296,0.0879372,0.971773,0.108221,-93.1193,-80.3756,20.1213,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
35,1554102462,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.159419,0.792882,0.583922,-0.0704166,0.0990047,-0.0651928,-0.110844,1,0.595226,-0.00337144,0.590815,-0.000308558,-0.0112156,-0.0515622,0.950465,0.30632,17.4142,-96.9207,-14.443,0.184871,0.0878285,0.972904,0.107546,-90.6295,-80.2669,21.3264,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
36,1554102476,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.159037,0.79495,0.581665,-0.0665455,0.0988909,-0.0651054,-0.11077,1,0.595226,-0.00441585,0.590979,-0.000188049,-0.0112156,-0.0515622,0.950465,0.30632,17.4142,-96.9207,-14.443,0.182756,0.0877061,0.973346,0.107264,-89.6143,-80.2669,21.8082,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
37,1554102501,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.157738,0.799412,0.576886,-0.0571168,0.098445,-0.064808,-0.110559,1,0.595226,-0.00349194,0.590652,-0.000589745,-0.0105955,-0.05096,0.950344,0.306819,17.4202,-96.9118,-14.3897,0.1764,0.0866712,0.974743,0.106057,-86.1757,-80.1267,23.4348,0.0439454,-1.54716,0.388395,1.37148,8.0898,3.62321
38,1554102532,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.156947,0.80101,0.575302,-0.0527028,0.098094,-0.0645952,-0.110419,1,0.595226,-0.00357228,0.590815,-2.73702e-05,-0.00942533,-0.0506695,0.95028,0.307103,17.4323,-96.8937,-14.2832,0.16905,0.0841423,0.97644,0.104433,-81.3839,-80.1895,25.4205,0.0144847,-1.59119,0.128015,1.37148,8.0898,3.62321
39,1554102546,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.156431,0.801722,0.574729,-0.0495772,0.09775,-0.064393,-0.110287,1,0.595226,-0.00393381,0.590325,9.31388e-05,-0.00883517,-0.0504931,0.950347,0.306943,17.4383,-96.8847,-14.23,0.165441,0.0833573,0.977142,0.104284,-79.5141,-80.2521,26.0994,0.0144847,-1.59119,0.128015,1.37148,8.0898,3.62321
40,1554102556,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.155704,0.801678,0.575214,-0.0468767,0.0972281,-0.0641158,-0.11014,1,0.595226,-0.00373296,0.590489,-6.75398e-05,-0.00822772,-0.0502969,0.950352,0.306975,17.4383,-96.8847,-14.23,0.16254,0.0821844,0.977765,0.103931,-77.5749,-80.2834,26.8333,0.00466658,-1.60594,0.0412344,1.37148,8.0898,3.62321
41,1554102586,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.155098,0.800493,0.577139,-0.0454473,0.0966067,-0.063808,-0.109995,1,0.595226,-0.00357228,0.590979,-0.00127263,-0.00761402,-0.0496507,0.950488,0.306675,17.4504,-96.8665,-14.1235,0.154725,0.0783446,0.979664,0.100898,-71.9391,-80.1434,29.0226,-0.00515469,-1.62072,-0.0455419,1.37148,8.0898,3.62321
42,1554102589,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.154681,0.799699,0.578389,-0.0449571,0.0962541,-0.0636388,-0.109922,1,0.595226,-0.00393381,0.590979,-0.000509406,-0.00763109,-0.0496709,0.950549,0.306482,17.4564,-96.8574,-14.0703,0.152323,0.0767844,0.980218,0.100375,-69.9878,-80.1434,29.7229,-0.0149697,-1.63553,-0.132312,1.37148,8.0898,3.62321
43,1554102612,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.153567,0.798154,0.580886,-0.0440453,0.0955353,-0.0633057,-0.10979,1,0.595226,-0.00357228,0.590489,-0.000670085,-0.0069828,-0.0489845,0.950563,0.306565,17.4564,-96.8574,-14.0703,0.148043,0.0728562,0.981346,0.0986664,-65.9009,-80.1434,31.1199,-0.0247879,-1.65039,-0.219076,1.37148,8.0898,3.62321
44,1554102628,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.152891,0.797429,0.582087,-0.0436721,0.0951704,-0.0631425,-0.109732,1,0.595226,-0.00373296,0.590652,-0.000188049,-0.00754965,-0.0486899,0.950567,0.306586,17.4559,-96.8032,-14.0748,0.146357,0.071573,0.981729,0.0983077,-64.4227,-80.1434,31.6022,-0.0247879,-1.65039,-0.219076,1.37148,8.0898,3.62321
45,1554102638,-0.0208759,0.666326,0.674035,-0.3182,-0.142593,-0.085179,-0.0904662,0.152037,0.796684,0.583355,-0.0433111,0.0947661,-0.0629659,-0.109673,1,0.595226,-0.00337144,0.590652,-2.73702e-05,-0.00694206,-0.0484939,0.950572,0.306617,17.4559,-96.8032,-14.0748,0.143667,0.0685677,0.98241,0.0976155,-61.5384,-80.1434,32.5087,-0.0239454,-1.73876,-0.211622,1.37148,8.0898,3.62321
